iter	Passed	Remaining
202	1122	4407
203	1127	4401
204	1132	4393
205	1137	4386
206	1143	4379
207	1147	4370
208	1152	4363
209	1157	4356
210	1163	4348
211	1167	4341
212	1172	4333
213	1177	4326
214	1182	4319
215	1187	4311
216	1192	4303
217	1197	4296
218	1202	4289
219	1207	4282
220	1212	4275
221	1218	4269
222	1223	4262
223	1228	4254
224	1233	4247
225	1238	4241
226	1243	4234
227	1248	4227
228	1253	4220
229	1258	4213
230	1263	4206
231	1268	4199
232	1273	4193
233	1279	4187
234	1284	4180
235	1289	4173
236	1294	4166
237	1299	4159
238	1304	4153
239	1309	4146
240	1314	4139
241	1319	4132
242	1324	4126
243	1329	4119
244	1334	4113
245	1339	4107
246	1345	4100
247	1350	4093
248	1355	4086
249	1360	4080
250	1365	4073
251	1370	4067
252	1375	4061
253	1380	4054
254	1385	4047
255	1390	4040
256	1395	4034
257	1400	4027
258	1405	4021
259	1410	4015
260	1415	4008
261	1420	4001
262	1425	3995
263	1430	3988
264	1435	3982
265	1440	3975
266	1445	3969
267	1451	3963
268	1456	3956
269	1461	3950
270	1466	3944
271	1471	3937
272	1476	3930
273	1481	3924
274	1486	3918
275	1491	3912
276	1496	3906
277	1501	3900
278	1506	3893
279	1511	3887
280	1516	3881
281	1522	3875
282	1527	3869
283	1532	3863
284	1537	3856
285	1542	3850
286	1547	3844
287	1552	3838
288	1557	3832
289	1562	3826
290	1568	3820
291	1571	3811
292	1577	3805
293	1581	3798
294	1587	3792
295	1592	3786
296	1597	3780
297	1602	3774
298	1607	3767
299	1612	3761
300	1617	3755
301	1622	3749
302	1627	3743
303	1632	3737
304	1637	3731
305	1642	3725
306	1647	3719
307	1652	3713
308	1657	3707
309	1662	3700
310	1667	3694
311	1672	3688
312	1677	3682
313	1682	3676
314	1688	3671
315	1693	3665
316	1698	3659
317	1703	3653
318	1708	3647
319	1713	3641
320	1718	3635
321	1724	3630
322	1728	3623
323	1734	3617
324	1738	3611
325	1744	3605
326	1749	3599
327	1754	3593
328	1759	3588
329	1764	3582
330	1769	3576
331	1774	3570
332	1779	3564
333	1784	3558
334	1789	3553
335	1794	3547
336	1800	3541
337	1805	3535
338	1810	3530
339	1815	3524
340	1820	3518
341	1825	3512
342	1830	3506
343	1835	3499
344	1840	3493
345	1845	3488
346	1850	3482
347	1855	3476
348	1860	3471
349	1866	3465
350	1871	3459
351	1876	3453
352	1881	3448
353	1886	3442
354	1891	3436
355	1896	3430
356	1901	3425
357	1906	3419
358	1912	3414
359	1917	3408
360	1922	3402
361	1927	3397
362	1932	3391
363	1937	3385
364	1943	3380
365	1948	3374
366	1953	3368
367	1958	3363
368	1963	3357
369	1968	3351
370	1973	3346
371	1979	3340
372	1984	3335
373	1989	3329
374	1994	3324
375	1999	3318
376	2004	3313
377	2009	3307
378	2015	3301
379	2020	3295
380	2025	3290
381	2030	3284
382	2035	3278
383	2040	3273
384	2045	3267
385	2050	3262
386	2055	3256
387	2061	3251
388	2066	3245
389	2071	3239
390	2076	3234
391	2081	3228
392	2086	3223
393	2091	3217
394	2096	3211
395	2101	3205
396	2106	3199
397	2111	3194
398	2117	3189
399	2122	3183
400	2127	3177
401	2132	3172
402	2137	3166
403	2142	3161
404	2147	3155
405	2153	3150
406	2158	3145
407	2164	3140
408	2171	3137
409	2183	3141
410	2194	3144
411	2199	3139
412	2204	3133
413	2210	3128
414	2215	3122
415	2220	3117
416	2226	3112
417	2232	3108
418	2240	3106
419	2245	3101
